city,名称,id,纬度,经度,评价分数,介绍,封面图片
银川,海宝塔寺,8820,38.492275,106.280792,4.5,寺内殿宇主要有山门，接引佛殿、大佛殿、韦陀殿、卧佛殿等，都在一条中轴线上。海宝塔是建在大佛殿和韦陀殿之间的砖结构楼阁式建筑，通高45米，由塔基、塔座、塔身、塔刹构成，整个塔的建筑外形线条明朗，层次分明，风格古朴、粗犷，且塔内有木梯盘旋上升直至塔顶。海宝塔自古以来是宁夏有名的佛都寺院，每年的农历七月十五，这里会举办庙会，庙会期间，非常的热闹。,https://dimg04.c-ctrip.com/images/100e0z000000nl738DAE0.jpg
银川,承天寺塔,8818,38.463528,106.269726,4.1,承天寺塔，位于银川兴庆区（老城区）的承天寺内，当地人俗称“西塔”。承天寺始建于西夏垂圣元年（公元1050年），西夏开国皇帝李元昊死后，其子年幼登位，皇太后为保其子“圣寿无疆”，和西夏江山“永固”，建造了承天寺和承天寺塔。承天寺塔是宁夏惟一有文献记载始建年代的古塔，原塔在地震中震毁，如今所见的是清代重建的古建筑。承天寺的寺门是朝东开启的，与中原寺庙大多“坐北朝南”有所不同，这可能和西夏民族崇拜东方或太阳有关。进入大门后，东西方向的中轴线上坐落着五佛殿、佛塔、韦驮殿、卧佛殿等主要建筑，各个建筑之间，用小门和围墙连接，行程了四合院式的院中院，小门上有很古朴砖雕的垂花。现今在承天寺内还能登上高达六十多米的承天寺塔。塔门也是面向东开，当你进入方形的塔室，会看到这里有木楼梯盘旋而上，在三、五、七、九层，有南北方向券门式的明窗，在四、六、八、十层有东、西方向多门式的明窗，而在十一层有四明四暗的圆窗，在这里你可以通过明窗眺望银川市的老城区。承天寺塔的每层之间的塔檐上下各挑出三层棱牙砖，各层檐角石榴状的铁柄上都挂着铁铃，微风吹过时，叮叮当当的作响。在承天塔的周围，有六棵400多年的老槐树，与照壁上精致的雕刻相映，充满了古朴的气息。寺内曾经还设有宁夏博物馆，现在已经迁走，如果你的时间比较充裕，在寺内散散步，听听古塔上的铁铃声，怀古之情油然而生。,https://dimg04.c-ctrip.com/images/100i0z000000nhacs6825.jpg
银川,中山公园,8943,38.476111,106.267458,4.4,中山公园是银川大的综合性公园，也是宁夏历史悠久的公园。园内现有各类植物2万余株，名木名树及重点保护树木101株，绿地率79.41%，园内动物园占地90亩，有各种野生动物500余只。这里原为西夏国元吴宫遗址，后毁于战火。明嘉靖年间，此为镇属兵马营房，俗称“西马营”。1929年，冯玉祥属下门致中在此兴建公园，正式命名为“中山公园”。现有夕照亭晚、菏池摇江、铁牛临池、古墙秋草、月榭泊舟、曲桥柳烟、银湖卧波、鸣钟问月、武穆诗迹等18处景观。还建有动物园、温室、少年科技站等多处景观。的古迹文昌阁就坐落在银湖北岸，建于清代，气势雄伟，是园内的主要标志。鸣钟亭内的铜钟是明朝成化年间从西夏废寺中得来，公元1465年重铸，钟高7尺，周长9尺，重7000余斤。该钟造型独具风格，相传这口铜钟夜静不扣自鸣，清朝同治年间有人想用以铸炮“未能化，以八牛拽之不动”。,https://dimg04.c-ctrip.com/images/0102o12000f6pwr1o99A6.jpg
银川,西夏风情园,1414394,38.478816,106.036402,4.4,西夏风情园旅游景区以西夏文化为主题，以实景演艺为主要表现形式，是集休闲观光体验、科普教育示范、红酒文化品鉴、餐饮娱乐服务等于一体的高规格、多功能的绿色旅游示范基地，景区占地2500余亩。景区先后荣获“宁夏回族自治区文化产业示范基地”、“银川市文联创作基地”等荣誉称号，并多次入选《全国优选旅游项目名录》，是您了解西夏民俗、探寻神秘西夏文化的必体验之地。西夏风情园占地2500亩，其中水域面积300余亩，位于宁夏首府银川市西夏区，距离银川火车站、高铁站仅10公里，东临西干渠、南依空军铁路、西接110国道、北靠北京西路，交通便捷，环境优美，左依西夏王陵景区、右附镇北堡西部影城，并与贺兰山岩画景区、贺兰山国家森林公园景区等形成西线黄金旅游带，是贺兰山东麓文化旅游带和大银川旅游圈的特色亮点项目景区。  西夏风情园旅游景区坐落于贺兰山脚下，显得古朴而静谧，走进景区能感受到西夏王朝的历史气息。园内凝练西夏建筑的精粹，有大气磅礴的皇家建筑群，也有湖畔林中闲情逸致的木屋草堂，游客至此，能感受到西夏建筑艺术的精美绝伦；园区草木精致，风光旖旎，既有风吹草低现牛羊的塞外风光，又有小桥流水的江南诗韵，处处亭台楼榭，次第鸟语花香。游客还可以了解笔画繁杂的西夏文字，欣赏西夏陶艺，或漫步在西夏繁盛时期的市井街、寨堡等。除此之外，还有气势恢宏的《宋夏和议》实景马战表演，通过激烈的战争场面，再现了西夏王朝的辉煌历史。  主要景点：1.西夏市井街2.西夏陶艺馆3.马小萌西夏田园4.米擒酒庄5.文字馆6.土灶烧烤7.风情美食街8.滑雪场演艺节目1.大型实景马战表演《宋夏和议》2.民间艺术《擂台杂耍》体验项目1.骑马2.射箭3.品酒4.陶艺5.瓶绘/手工6.团建拓展,https://dimg04.c-ctrip.com/images/350k1d000001esjvcADD6.jpg
银川,黄河军事文化博览园,69614,38.396475,106.489659,3.8,黄河军事文化博览园位于银川滨河新区，黄河防洪线以东，203省道以西，北京路与纬四路连接线以南，规划建设总面积258公顷。目前黄河军事文化博览园距银川市区30公里，河东机场6公里。园区总占地面积3500余亩，预算总投资20亿元，总建设项目分三期完成。主体建筑有建设的“银川舰”安置、“银川舰”纪念馆、中华军事文化展示馆、国际防务中心、弧形景观餐厅、主体广场及武备展示等板块。,https://dimg04.c-ctrip.com/images/35020v000000jq74k01BD.jpg
银川,阅海公园,50458,38.544898,106.204905,3.8,阅海公园景色秀美、风光旖旎，南起艾依河北京路码头，途经西湖游乐园，北通银川市大的湿地——阅海。风物变幻，气象万千，享有“银川之肾”、“城市绿肺”之美誉。公园水域面积广阔，河道蜿蜒曲折，依山偎桥，穿街过巷。游人至此，既可观赏景观大桥、斜拉桥、康居工程楼等凝聚现代文明的建筑群，倾听导游讲述艾依河美丽的传说，又可体味亭台楼阁、江南烟雨的西湖美景。千顷蒲苇吐翠，万只水鸟飞鸣，水盛鱼肥，瓜果飘香，各大景源交相辉映，使人仿佛置身世外桃源、童话世界。湖中有自然植物114种，鸟类107种，其中有国家高级保护黑鹳、中华秋沙鸭、大鸨、小鸨等。国家二级保护动物大天鹅、小天鹅、鸳鸯、白鹤等19种。每年春夏季节，数十万只鸟类在这里繁衍栖息。湿地内还有鱼类、哺乳动物、爬行动物、两栖动物，以及大量的昆虫和水生物资源。这里的冬季娱乐项目众多，有竞道滑雪、滑雪圈、雪地摩托车、冰车、冰上自行车、冰上拔河、雪爬梨、雪地排球、冰陀螺、冰上垂钓、溜冰、迎新春冰雪大联欢、以及冰雪花絮摄影赛等。,https://dimg04.c-ctrip.com/images/0100n12000f6t3rgz6C5E.jpg
银川,龙谕酒庄,1414597,38.452061,106.10665,4.2,龙谕酒庄位于银川市高新技术产业开发区，由烟台张裕公司投资6亿元兴建，是一个集葡萄种植、葡萄酒生产、葡萄酒文化展示、葡萄酒品鉴、会议接待和旅游观光于一体的综合型庄园。酒庄占地1300亩，其中葡萄园1000亩。酒庄专属葡萄园3000亩，年酒庄酒生产能力1000吨。宁夏摩塞尔庄园规划占地1000亩，一期工程占地400余亩，主楼呈拜占庭式建筑风格，酒庄主楼四面环水，独特的雾化效果，给人以云雾缭绕人间仙境一般的感觉。主楼建筑面积13000平米，分为四层，地上三层，地下一层。一层为接待大厅，灌装生产线、影视厅、 “红酒”制作区；二层为张裕故事、张裕历史文化博物馆、红酒秘密、葡萄酒科普互动厅，专业品酒室 ；三层为多功能区，包括葡萄酒大学、OIV教室、会议室；地下一层为酒窖迷宫和贵宾品酒室。主楼融葡萄种植、高端摩塞尔酒庄酒酿造、葡萄酒文化旅游以及葡萄酒主题品鉴于一体的综合性葡萄酒主题庄园。酒庄主楼建筑面积13000平米，共四层，地上三层，地下一层。一层为接待大厅，灌装生产线、影视厅、制作区；二层为葡萄酒博物馆；三层为多功能区，包括葡萄酒学院、OIV教室、会议室。地下一层为酒窖和贵宾品酒室。酒庄与以葡萄种植见长的欧洲酿酒世家摩塞尔家族合作，聘请其第十五代传人罗斯·摩塞尔担任酒庄酿酒师，并以此为酒庄命名。 摩塞尔家族酿造葡萄酒的历史可以追溯到400年前。摩塞尔十三世是家族中著名的人物，被称作“现代葡萄种植之父”，他1905年发明了现代棚架种植法——让葡萄树站起来生长，大大提了酿酒葡萄的品质，在欧洲掀起了一场葡萄园的革命。其著作《葡萄种植》（Weinbau Einmal Anders）被翻译为17种外国语言出版，被誉为“葡萄栽培的圣经”。摩塞尔将祖父倾尽一生研究葡萄种植的精髓带到了酒庄葡萄园。当他发现，在距离地面60-80厘米的高度上，葡萄树阳光、通风与湿度条件都恰到好处时，就果断剪掉了其他位置的果实，每株葡萄树仅留不多于10串葡萄。酒庄葡萄园每亩产量在400公斤以下，超过波尔多AOC法定产区标准。,https://dimg04.c-ctrip.com/images/10041f000001gp7ce6377.jpg
银川,宁园,50507,38.464519,106.282455,3.8,宁园位于银川市解放东街南侧。从西门进园，便进入盆景区。主要区由兴庆殿、沁茗阁、碑、廊及水池组成。兴庆殿是园中规模较大的殿宇，殿内壁画“西夏风云”艺术地再现了我国历史上西夏国时期的经济、文化、军事及风土人情。这里环境清幽，是避暑纳凉的好去处，也是了解银川人生活的好地方。兴庆殿前的方型水池中置汉白玉石雕“哪吒闹海”。兴庆殿左侧是卷棚式仿古建筑沁茗阁，右侧则是一个四角由重檐亭和一个六角亭连接的曲折碑廊，名“翰墨”。,https://dimg04.c-ctrip.com/images/0101t12000f6rcf843D0B.jpg
银川,滚钟口风景区,8830,38.606364,105.936197,4.5,滚钟口，位于银川市区西北约30公里处，当地人也称这里为“小口子”，这里是银川市民郊游的去处，非常适合爬山等户外运动。滚钟口内有远古的岩画，还有不少清朝的建筑遗迹军阀马鸿逵的行宫；这里的自然风光也不错，在西夏时期，这里就是“名胜之地”，西夏开国皇帝李元昊增进在滚钟口内建造了一处规模宏大的避暑宫苑，但现在已经只剩下遗址和一些散落着的瓦片和物品的残片。滚钟口风景区三面环山，面向东面开口，风景区内的笔架山下盛产的贺兰石。景区内大的人文特色就是“三教合一”，你可以在景区内看到清真寺、贺兰庙，还有老君堂。一边在敬香叩拜，转身就可以看到清真寺的星月标志。当你走进景区，可以去景区的西北侧的滚钟口清真寺，这里是个安静的的地方，有一个不太大的四合院，虽然在这里你看不到一些古建筑中的精美雕刻或壁画，但这里是克马伦丁长老的拱北（拱北，是伊斯兰教先贤们陵墓建筑的阿拉伯语称谓）。16世纪一位也门人叫欧斯曼-克马伦丁来到中国，在银川等地宣教30余年，在穆斯林中享有崇高的威望，后来葬于贺兰山滚钟口，教民为纪念他，为其修建了陵墓。如今每年的7月13日长老的归真日（逝世日），这里都会有隆重的纪念日。当游客进入景区的深处时，就是郁郁葱葱的常绿树和落叶林，这里在每年春季美，处处都是山花，还有清澈的泉水，但在景区山顶处，还能看到白雪皑皑，这就是银川的“贺兰晴雪”，在这里爬爬山，一定会让你心旷神怡。在景区内游玩时看能看到岩羊、蓝马鸡等野生动物。此外还有兴隆寺、晚翠阁等一些清朝留下的建筑。因为冬季山中有些地方会下雪，道路状态不是很好，部分区域可能无法到达，建议还是春、夏季前往游玩。景区大门到景点入口有很长一段路，如果自驾游，可以开车进入景区。,https://dimg04.c-ctrip.com/images/01048120009cywv30368E.jpg
银川,宁夏科技馆,1413798,38.48788,106.226486,4.8,宁夏科技馆是宁夏规模较大的科普教育场所，也是宁夏青少年科技活动场馆。宁夏科技馆内，通过各种现代化的设备，运用了文字图片、多媒体、标本模型等形式，让大家近距离接触到各类科学知识、培养对科学的热情和兴趣，特别适合青少年或者家长带着孩子一同前来游玩。宁夏科技馆分为三层高的展馆主体大楼和穹幕影院两部分。在展馆大楼一层内，能够看到神州七号飞船的模型。一层的“月夜星辰”小屋内，有一个美丽的模拟星空，只要你按下星座图上的按钮，就会在星空图上显示你对应的星座，小游客们都非常喜欢这个互动游览项目。在二楼展厅，有众多的栩栩如生的动物标本和各类科技展品模型，如：恐龙化石、磁铁树、三维立体画等，还能在这里看到蛇形机器人等各种机器人。在三楼的儿童乐园展区游客可以动手操作各种互动展品，如：电磁秋千、树公公拍脸、音乐篱笆等等。在主体大楼旁的穹幕影院内，可以观看到动感的4D和5D电影，5D电影一般只在节假日才有播放。,https://dimg04.c-ctrip.com/images/0106812000atjgiwp4692.jpg
银川,南门广场,1832727,38.456859,106.284175,4.5,南门广场位于银川市兴庆区南薰东街与中山南街交叉口，广场上的南门楼为银川老城六大城门之一。,https://dimg04.c-ctrip.com/images/10011f000001h39875D30.jpg
银川,月亮门,1715043,38.614062,106.069978,4.5,月亮门位于银川镇北堡西部影城内，以其形似新月的天然石门而闻名。傍晚的时候，一轮明月高高地悬在夜空，高耸的月亮门孤独而壮丽，在晚风浮云中岿然不动。这一地质奇观不仅是大自然的杰作，更是游客们流连忘返的风景地标。月亮门不只是一座普通的黄土拱门，电影《红高粱》等影视作品都在这里取景，它荒凉却又古朴粗犷，来到这里就像穿过了一条“时光隧道”，游客可以沿着蜿蜒的步道，探索周围的自然美景，在大自然的怀抱中找寻自我。,https://dimg04.c-ctrip.com/images/0101212000axbwgk10D8E.jpg
银川,中阿之轴,1714928,38.523701,106.223618,4.5,中阿之轴位于宁夏银川市阅海湾CBD，全长2.1公里，总宽度达90米。中阿之轴由两个部分组成，中间是58米宽的文化休闲区，两侧各有16米的机动车道和人行道。从景观功能上划分，中阿之轴分为3个相对独立的人文景观区，暨中阿友好标志景观区、中阿文化交融景观区、中国回族文化景观区，中阿之轴展现出阿拉伯国家悠久的历史文化和中阿友谊源远流长。,https://dimg04.c-ctrip.com/images/100f1f000001gqaa0CF3D.jpg
银川,黄河横城旅游休闲度假区,70193,38.362552,106.430751,2.9,黄河横城旅游休闲度假区距宁夏首府银川市13公里，银川河东机场2公里，交通便利，风景迷人。是集旅游观光、自驾娱乐、休闲度假为一体的国家旅游区，宁夏文化产业示范基地，宁夏自驾车营地。“早在西夏时期这里就是的顺化古渡口，距今已有1000多年的历史。始建于明朝正德五年（公元1510年）的横城堡是长城抵御北方少数民族入侵，距离黄河近的战略防御体系。,https://dimg04.c-ctrip.com/images/0104s12000993qmioBDD3.jpg
银川,漫葡天沐温泉,1739817,38.622444,106.067501,4.7,宁夏漫葡天沐温泉小镇坐落于贺兰山东麓，镇北堡西部影视城正对面，总占地面积约300亩，是宁夏集温泉养生、度假休闲、西夏文化艺术展示、红酒展示、温泉酒店、大型室内温泉馆、露天温泉泡汤区、儿童水上游乐区、温泉公寓、高端温泉别墅会所于一体的温泉度假村。温泉酒店充分将西部人文文化与时尚动感元素相结合，室内温泉馆占地约4000㎡，主要包括：大型综合水疗池、造浪池、游戏水寨、巨蟒滑道、鱼疗池等综合水疗娱乐泡池。露天温泉区占地约12000㎡，共计约70多个泡池，分为五大温泉主题区：西夏王朝区、红酒文化区、贺兰山岩画区、滋补养生区、美容养颜区，单日可接待5000人沐浴温泉，在您卸下疲惫的同时充分体验与享受真山真水、返璞归真的天然温泉沐浴。同时酒店3楼还有桑拿汗蒸、保健按摩、网吧、影视厅、健身房、台球房、乒乓球室、实景模拟高尔夫、儿童乐园、棋牌室等一应俱全。,https://dimg04.c-ctrip.com/images/010011200082vx1hk9641.jpg
银川,红玛瑙枸杞观光园,1418343,38.527533,106.076644,5.0,红玛瑙枸杞观光园位于银川市西夏区，在这里，游客可以了解到两千多年的枸杞养生文化，亲手采摘品尝新鲜枸杞，参加趣味性的枸杞采摘比赛，包括黄枸杞、黑枸杞在内的各种枸杞珍稀品种种植园区，也会让游客们对枸杞有新的发现和了解。历经多年发展，“红玛瑙”已经从单一的枸杞种植、销售转变为遍及干果、茶饮、休闲食品、养生保健等多元化、全系列的枸杞制品。并在原有的宁夏农科院枸杞园种植基地上建立了大型的枸杞生态观光园，提供新鲜枸杞果实的观赏、采摘、品尝。您来到宁夏就可以亲眼看到、品尝到晶莹润泽如红玛瑙般的新鲜枸杞果实。 银川红玛瑙枸杞观光园通过改造和规划，分设了六大功能区域。A、体验采摘区为游客提供直观的枸杞采摘体验。区域内大面积种植无公害枸杞，游客可直接进入采摘和品尝新鲜枸杞，还可在讲解员的介绍下了解枸杞的培育、种植等相关知识。B、枸杞文化长廊通过图文并茂的形式，分三大部分对宁夏五宝、枸杞文化及传承、枸杞传统和现代制干工艺进行展示。游客可边走边看，对宁夏特产风貌及枸杞传统文化、工艺流程以及与现代工艺的不同有充分的认知和了解。C、游戏竞技区以枸杞种植区为基础，设立多种与枸杞相关的游戏项目，游客可通过各种趣味性互动游戏，丰富知识的同时又获得各种土特产品和纪念品。D、品种博览区该区种植了近年来农科单位研制的新枸杞品种，以及包括黄枸杞、黑枸杞在内的较稀有的种类，并附有品种的详细介绍。游客可了解到新品种的研发动态，还可看到稀有的植物品种。E、葡萄观光长廊该区域为纵向跨越园区的观光休憩长廊。长廊上常年挂满葡萄藤蔓，绿叶成荫。葡萄成熟季节，长廊两侧和顶端会结满成串的葡萄，鲜甜可口。葡萄采用无公害种植，因此游客可以直接采摘取食。葡萄长廊中设有座椅，两侧还挂有与枸杞相关的诗句、词赋。游客可以一边休憩，一边品尝美味的葡萄，畅游于田园风光与枸杞文化之中。F、土特产展厅展厅占地面积近千平方米，里面有来自宁夏多个地区及生产厂商展出的各类特产以及周边地区深加工产品，品种多达数十种。同时大厅还兼有开放式选购及游客服务功能，游客可了解和自由选购各种宁夏土特产品，也可以进入茶厅，了解宁夏特有的枸杞叶茶的历史和特色，并品尝枸杞。,https://dimg04.c-ctrip.com/images/0105a12000f6shhap5F94.jpg
